,loss,val_loss
0,0.20361009240150452,0.19952672719955444
1,0.16508518159389496,0.16436851024627686
2,0.13293172419071198,0.1291915625333786
3,0.11556878685951233,0.09315423667430878
4,0.11003617942333221,0.062206167727708817
5,0.11483296751976013,0.04016478359699249
6,0.11506231129169464,0.03720187395811081
7,0.11454455554485321,0.04014924168586731
8,0.1072729080915451,0.052765969187021255
9,0.10377449542284012,0.06307470798492432
10,0.09809257835149765,0.06891243159770966
11,0.0986311137676239,0.0692143440246582
